,date,county,daily_county_confirmed,county_confirmed,daily_state_confirmed,state_confirmed,county_cases_increase,date_cases_contribution,total_cases_contribution,daily_county_deaths,county_deaths,daily_state_deaths,state_deaths,county_deaths_increase,date_death_contribution,total_death_contribution
80,2020-07-02,Coffey,0,53,84,15226,0.0,0.0,0.003480887954814134,0,8,2,282,0.0,0.0,0.02836879432624113
79,2020-07-02,Comanche,0,2,84,15226,0.0,0.0,0.00013135426244581636,0,0,2,282,0.0,0.0,0.0
78,2020-07-02,Cowley,0,71,84,15226,0.0,0.0,0.004663076316826481,0,1,2,282,0.0,0.0,0.0035460992907801413
77,2020-07-02,Crawford,0,263,84,15226,0.0,0.0,0.017273085511624854,0,1,2,282,0.0,0.0,0.0035460992907801413
76,2020-07-02,Dickinson,0,8,84,15226,0.0,0.0,0.0005254170497832654,0,0,2,282,0.0,0.0,0.0
75,2020-07-02,Doniphan,0,26,84,15226,0.0,0.0,0.0017076054117956126,0,0,2,282,0.0,0.0,0.0
74,2020-07-02,Douglas,2,190,84,15226,0.010526315789473684,0.023809523809523808,0.012478654932352557,0,0,2,282,0.0,0.0,0.0
73,2020-07-02,Edwards,0,7,84,15226,0.0,0.0,0.0004597399185603573,0,0,2,282,0.0,0.0,0.0
72,2020-07-02,Elk,0,1,84,15226,0.0,0.0,6.567713122290818e-05,0,0,2,282,0.0,0.0,0.0
71,2020-07-02,Ellis,0,25,84,15226,0.0,0.0,0.0016419282805727046,0,0,2,282,0.0,0.0,0.0
70,2020-07-02,Ellsworth,0,4,84,15226,0.0,0.0,0.0002627085248916327,0,0,2,282,0.0,0.0,0.0
69,2020-07-02,Finney,1,1575,84,15226,0.0006349206349206348,0.011904761904761904,0.1034414816760804,0,10,2,282,0.0,0.0,0.03546099290780142
68,2020-07-02,Ford,0,2008,84,15226,0.0,0.0,0.13187967949559964,0,10,2,282,0.0,0.0,0.03546099290780142
67,2020-07-02,Franklin,5,77,84,15226,0.06493506493506493,0.05952380952380953,0.00505713910416393,0,1,2,282,0.0,0.0,0.0035460992907801413
66,2020-07-02,Geary,0,70,84,15226,0.0,0.0,0.004597399185603573,0,1,2,282,0.0,0.0,0.0035460992907801413
65,2020-07-02,Gove,0,1,84,15226,0.0,0.0,6.567713122290818e-05,0,0,2,282,0.0,0.0,0.0
64,2020-07-02,Grant,3,51,84,15226,0.05882352941176471,0.03571428571428571,0.0033495336923683172,0,1,2,282,0.0,0.0,0.0035460992907801413
63,2020-07-02,Gray,0,26,84,15226,0.0,0.0,0.0017076054117956126,0,0,2,282,0.0,0.0,0.0
62,2020-07-02,Greenwood,0,11,84,15226,0.0,0.0,0.0007224484434519901,0,0,2,282,0.0,0.0,0.0
61,2020-07-02,Hamilton,0,33,84,15226,0.0,0.0,0.0021673453303559702,0,0,2,282,0.0,0.0,0.0
60,2020-07-02,Harper,0,4,84,15226,0.0,0.0,0.0002627085248916327,0,0,2,282,0.0,0.0,0.0
59,2020-07-02,Harvey,0,39,84,15226,0.0,0.0,0.002561408117693419,0,2,2,282,0.0,0.0,0.007092198581560284
58,2020-07-02,Haskell,0,24,84,15226,0.0,0.0,0.0015762511493497965,0,0,2,282,0.0,0.0,0.0
57,2020-07-02,Hodgeman,0,9,84,15226,0.0,0.0,0.0005910941810061736,0,0,2,282,0.0,0.0,0.0
56,2020-07-02,Jackson,0,113,84,15226,0.0,0.0,0.007421515828188624,0,1,2,282,0.0,0.0,0.0035460992907801413
55,2020-07-02,Jefferson,0,25,84,15226,0.0,0.0,0.0016419282805727046,0,0,2,282,0.0,0.0,0.0
54,2020-07-02,Jewell,0,4,84,15226,0.0,0.0,0.0002627085248916327,0,0,2,282,0.0,0.0,0.0
53,2020-07-02,Johnson,0,1870,84,15226,0.0,0.0,0.12281623538683832,1,88,2,282,0.011363636363636364,0.5,0.3120567375886525
52,2020-07-02,Kearny,0,48,84,15226,0.0,0.0,0.003152502298699593,0,1,2,282,0.0,0.0,0.0035460992907801413
51,2020-07-02,Kiowa,0,3,84,15226,0.0,0.0,0.00019703139366872456,0,0,2,282,0.0,0.0,0.0
50,2020-07-02,Labette,0,61,84,15226,0.0,0.0,0.004006305004597399,0,0,2,282,0.0,0.0,0.0
49,2020-07-02,Lane,0,5,84,15226,0.0,0.0,0.0003283856561145409,0,0,2,282,0.0,0.0,0.0
48,2020-07-02,Leavenworth,0,1173,84,15226,0.0,0.0,0.0770392749244713,0,7,2,282,0.0,0.0,0.024822695035460998
47,2020-07-02,Linn,0,15,84,15226,0.0,0.0,0.0009851569683436228,0,0,2,282,0.0,0.0,0.0
