,date,county,daily_county_confirmed,county_confirmed,daily_state_confirmed,state_confirmed,county_cases_increase,date_cases_contribution,total_cases_contribution,daily_county_deaths,county_deaths,daily_state_deaths,state_deaths,county_deaths_increase,date_death_contribution,total_death_contribution
7592,2020-03-26,Butler,0,3,39,173,0.0,0.0,0.017341040462427744,0,0,0,3,0.0,0.0,0.0
7591,2020-03-26,Cherokee,0,2,39,173,0.0,0.0,0.011560693641618495,0,0,0,3,0.0,0.0,0.0
7590,2020-03-26,Crawford,2,3,39,173,0.6666666666666666,0.05128205128205128,0.017341040462427744,0,0,0,3,0.0,0.0,0.0
7589,2020-03-26,Doniphan,0,1,39,173,0.0,0.0,0.005780346820809247,0,0,0,3,0.0,0.0,0.0
7588,2020-03-26,Douglas,3,13,39,173,0.2307692307692308,0.07692307692307693,0.07514450867052022,0,0,0,3,0.0,0.0,0.0
7587,2020-03-26,Ford,0,1,39,173,0.0,0.0,0.005780346820809247,0,0,0,3,0.0,0.0,0.0
7586,2020-03-26,Franklin,0,1,39,173,0.0,0.0,0.005780346820809247,0,0,0,3,0.0,0.0,0.0
7585,2020-03-26,Jackson,0,1,39,173,0.0,0.0,0.005780346820809247,0,0,0,3,0.0,0.0,0.0
7584,2020-03-26,Johnson,13,59,39,173,0.22033898305084745,0.3333333333333333,0.3410404624277457,0,1,0,3,0.0,0.0,0.3333333333333333
7583,2020-03-26,Leavenworth,1,12,39,173,0.08333333333333333,0.02564102564102564,0.06936416184971098,0,0,0,3,0.0,0.0,0.0
7582,2020-03-26,Linn,2,4,39,173,0.5,0.05128205128205128,0.023121387283236997,0,0,0,3,0.0,0.0,0.0
7581,2020-03-26,Lyon,1,3,39,173,0.3333333333333333,0.02564102564102564,0.017341040462427744,0,0,0,3,0.0,0.0,0.0
7580,2020-03-26,Mitchell,0,3,39,173,0.0,0.0,0.017341040462427744,0,0,0,3,0.0,0.0,0.0
7579,2020-03-26,Morris,0,2,39,173,0.0,0.0,0.011560693641618495,0,0,0,3,0.0,0.0,0.0
7578,2020-03-26,Neosho,0,1,39,173,0.0,0.0,0.005780346820809247,0,0,0,3,0.0,0.0,0.0
7577,2020-03-26,Pottawatomie,0,1,39,173,0.0,0.0,0.005780346820809247,0,0,0,3,0.0,0.0,0.0
7576,2020-03-26,Reno,2,4,39,173,0.5,0.05128205128205128,0.023121387283236997,0,0,0,3,0.0,0.0,0.0
7575,2020-03-26,Riley,0,1,39,173,0.0,0.0,0.005780346820809247,0,0,0,3,0.0,0.0,0.0
7574,2020-03-26,Sedgwick,5,16,39,173,0.3125,0.1282051282051282,0.09248554913294796,0,0,0,3,0.0,0.0,0.0
7573,2020-03-26,Shawnee,1,4,39,173,0.25,0.02564102564102564,0.023121387283236997,0,0,0,3,0.0,0.0,0.0
7572,2020-03-26,Woodson,0,1,39,173,0.0,0.0,0.005780346820809247,0,0,0,3,0.0,0.0,0.0
7571,2020-03-26,Wyandotte,7,34,39,173,0.2058823529411765,0.1794871794871795,0.19653179190751446,0,2,0,3,0.0,0.0,0.6666666666666666
7570,2020-03-27,Bourbon,2,3,40,213,0.6666666666666666,0.05,0.014084507042253518,0,0,1,4,0.0,0.0,0.0
7569,2020-03-27,Butler,0,3,40,213,0.0,0.0,0.014084507042253518,0,0,1,4,0.0,0.0,0.0
7568,2020-03-27,Cherokee,0,2,40,213,0.0,0.0,0.009389671361502348,0,0,1,4,0.0,0.0,0.0
7567,2020-03-27,Crawford,0,3,40,213,0.0,0.0,0.014084507042253518,0,0,1,4,0.0,0.0,0.0
7566,2020-03-27,Doniphan,0,1,40,213,0.0,0.0,0.004694835680751174,0,0,1,4,0.0,0.0,0.0
7565,2020-03-27,Douglas,5,18,40,213,0.27777777777777773,0.125,0.08450704225352113,0,0,1,4,0.0,0.0,0.0
7564,2020-03-27,Ford,0,1,40,213,0.0,0.0,0.004694835680751174,0,0,1,4,0.0,0.0,0.0
7563,2020-03-27,Franklin,1,2,40,213,0.5,0.025,0.009389671361502348,0,0,1,4,0.0,0.0,0.0
7562,2020-03-27,Jackson,0,1,40,213,0.0,0.0,0.004694835680751174,0,0,1,4,0.0,0.0,0.0
7561,2020-03-27,Jefferson,0,1,40,213,0.0,0.0,0.004694835680751174,0,0,1,4,0.0,0.0,0.0
7560,2020-03-27,Johnson,7,66,40,213,0.10606060606060606,0.175,0.30985915492957744,0,1,1,4,0.0,0.0,0.25
7559,2020-03-27,Leavenworth,0,12,40,213,0.0,0.0,0.056338028169014086,0,0,1,4,0.0,0.0,0.0
7558,2020-03-27,Linn,0,4,40,213,0.0,0.0,0.018779342723004692,0,0,1,4,0.0,0.0,0.0
7557,2020-03-27,Lyon,2,5,40,213,0.4,0.05,0.023474178403755867,0,0,1,4,0.0,0.0,0.0
7556,2020-03-27,Mitchell,0,3,40,213,0.0,0.0,0.014084507042253518,0,0,1,4,0.0,0.0,0.0
7555,2020-03-27,Morris,0,2,40,213,0.0,0.0,0.009389671361502348,0,0,1,4,0.0,0.0,0.0
7554,2020-03-27,Neosho,0,1,40,213,0.0,0.0,0.004694835680751174,0,0,1,4,0.0,0.0,0.0
7553,2020-03-27,Pottawatomie,0,1,40,213,0.0,0.0,0.004694835680751174,0,0,1,4,0.0,0.0,0.0
7552,2020-03-27,Reno,1,5,40,213,0.2,0.025,0.023474178403755867,0,0,1,4,0.0,0.0,0.0
7551,2020-03-27,Riley,1,2,40,213,0.5,0.025,0.009389671361502348,0,0,1,4,0.0,0.0,0.0
7550,2020-03-27,Sedgwick,4,20,40,213,0.2,0.1,0.09389671361502347,0,0,1,4,0.0,0.0,0.0
